112;56;WEX RUB;RUB WEX;643;0;00000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
113;148;Любой банк KZT;KZT Банк;398;1;11100100001010011001000100010100000010000000000000000000110000000001110111000000000000010100110000000000000000000000000000000000000100000000000000000000010000000000000000000
114;128;Сбербанк KZT;KZT Сбербанк;398;1;11000100001010111000000100010100000010000000000000000000110000000001110111000000000000000000110000010010000000000000000000000110100000000000000000000000000000000000000000000
115;33;Dogecoin (DOGE);DOGE;996;0;10000000001010111110000111111111011111111110111010101100111111100101111111000000011000000011000000001011111011111011101110110111110101110001100101010000000101010101000000000
116;162;Золотая Корона USD;USD ЗолКорона;840;2;01000000001000111000000111111111111110111111110011110110110000000001110110000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000
117;73;Payeer RUB;RUB Payeer;643;0;11000000111010111111111111111111111111111110111011111111111111100001111111000001011001100111111000011011111011111111101110110111111101111001101111010000000101011111000111000
118;123;ПУМБ;UAH ПУМБ;980;1;10000000001010011010000110111111101110011111111010101000111101000001110111000000000000000000110000000010001000000000000000000111110000010000000000010000000000000000000000000
119;152;Любой банк INR;INR Банк;356;1;10000000001010011001000000000000000000000000000000000000100000000001110111000000000000010100000000000000000000000000000000000000000100000000000000000000010000000000000000000
120;70;Advanced Cash EUR;EUR AdvCash;978;0;11000000111010111111111111111111101111110111111010111111111111111001101111110001011001110111111000011011111011111111101111110111111101111001101111010010010000000100000111100
121;69;Advanced Cash RUB;RUB AdvCash;643;0;11000000111010111111111111111111111111111110111011111111111111100001111111110011011001110111111000011011111011111111101110110111111101111001100111000000000101011111100111100
122;74;Payeer EUR;EUR Payeer;978;0;11000000111010111111111110111111101111110110111010111111111111111001111111110001011001110111111000011011001011111111101110110111111101111001100111010000010000000100000100000
123;76;Skrill EUR;EUR Skrill;978;0;11110000001010011001110110010110000000000000000000000000000000000001110001000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000
124;52;Verge (XVG);XVG;107;0;00000000001010010000000110010111001111000000000000000000010000000101100110000000000000000000000000000011001011111010101000010000000101000001000101000000000000000000000010000
125;94;NixMoney EUR;EUR NixMoney;978;0;11000000111010111000000100000000000010000000000000000000110000000001110111000001000000000000100000010010001010010001001110110111110001010000000000000000000000000000000000000
126;14;QIWI EUR;EUR QIWI;978;0;11010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
127;15;QIWI KZT;KZT QIWI;398;0;11010000001010011110000111010111101111110110011010101100110001000001110111000000011000000010110000011011001011111010100000000111110100010000000100010000000000000000000000001
128;18;Perfect Money BTC;BTC PM;967;0;00000000001010111010000111010111101111110110011010101100111001000001110111000000011000000010000000001011001011111110100000000000000100000000000100000000000000000000000000000
129;57;Exmo USD;USD Exmo;840;0;11000000111010111111111111111111111111111110111011111111011111111001111111100001111001100111111000011011111011111111101110110111111111111001101111010000010101011111100111100
130;58;Exmo RUB;RUB Exmo;643;0;10000000111010111111100111111111111111111110111011111111101111100001110111000000011001100111110000011011111011111111101110110111111101110001100111010000010101011111100111100
131;59;Exmo EUR;EUR Exmo;978;0;11000000001010011111111110111111101111110110111010111111111111111001110111000000011000000111111000011011001011111111101110110111111101110001101111010000010000000000000111100
132;116;РНКБ;RUB РНКБ;643;1;11000000001010011000000000010100000000000000000000000000000000000001010110000000000000000000110000000000000000000000001000000000000000000000000000000000000000000000000000000
133;50;Waves (WAVES);WAVES;106;0;00000000000010010000000100010000000000000000000000000000010000000100100100000000000000000000000000000011111011111011101000000000000100000000000100000000000101011101000111000
134;85;MoneyPolo;USD MoneyPolo;840;0;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
135;98;WeChat;CNY WeChat;156;0;00000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
136;87;Neteller EUR;EUR Neteller;978;0;11010000001010011000000110010111000000000000000000000000011000000001110111000000000000000100000000000010000000000000000000000000000100000000000010000000010000000000000000000
137;26;Bitcoin SV (BSV);BCHSV;995;0;00000000001010111010000110011111101111110110011010101100111011100101110111000000011000000010000000001011001011111010101000010011010101110000000101000010000000000000000000000
138;34;Peercoin (PPC);PPC;994;0;00000000000010010010000110011100101000001000100000000000010000000111100100000000000000000000000000000011111000000000000000000000000100000000000000000000000101010101000000000
139;28;Ethereum (ETH);ETH;993;0;11000000111010111111111111101111111111111110111011111111111111100111110111110001111001100111111010011011111011111111111111110111111111111001101111010010010101011111100111100
140;35;Dash (DASH);DASH;992;0;11000000001010111111100111111111110111111110111010111111111111100111110111100000011001100111001000001011111011111111101110110111111111110001101111010000010101011111100111100
141;170;Наличные EUR;EUR Наличными;978;3;11000000000000011000000110011111001110000110001001000000111000000001110100000000000000000000000000000000000000000000001000000000000000000000000000000000010000000000000000000
142;71;Advanced Cash UAH;UAH AdvCash;980;0;11000000111010011000000111011111111110111100110011110010010000000001110110000001000000000000000000000011111010000000001000000000000101001001000000000000000101010101000000000
143;105;Альфа cash-in USD;USD Альфа cash-in;840;1;10000000001000011001000111011111111110111110111011110011110000000001100111000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
144;10;Paymer RUB;RUB Paymer;643;0;00000000101000011000000110010110000000000000000000000000100000000001100111000001000000000000100000001011000000000000000000000000000000000000000000000000000000000000000000000
145;82;Capitalist USD;USD Capitalist;840;0;11000000011010111110000111111111101111110110111010111110111011100001110111100001001000000011000000001011111011111010101110100011011101111001001101010000000000000000000110100
146;138;Visa/MasterCard GBP;GBP Карта;826;1;00000000000000000000000110011110001100000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
147;84;Epese;USD Epese;840;0;00000000001010010000000100000000000010000000000000000011100000000000100100000000010000000000000000000011011011110010001010100000000101000000000101000000000000000000000110100
148;66;Криптобиржи USD;USD Trade;840;0;00000000000000000000000111111111111111111111111111111100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
149;32;Monero (XMR);XMR;991;0;11000000001010111110000111011110101111110110111010111111111111100111110111000000011001100111000000001011111011111111101110110111011111110001101101000010010101011111100111100
150;166;Ria USD;USD Ria;840;2;00000000001010011000000100010110000011100000000000000010100000000001000100100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000
151;167;Ria EUR;EUR Ria;978;2;00000000000000011000000100000000000000000000000000000000100000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
152;88;PaySera;USD PaySera;840;0;10000000001010011001000000000000000000000000000000000000000000000001110111000000000000000100000000000000000000000000000000000000000100000000000110000000010000000000000000000
153;67;Криптобиржи EUR;EUR Trade;978;0;00000000000000000000000110110111011100010010001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
154;95;Epay USD;USD Epay;840;0;10000000000000011001000110011111001110000000011000000010101000001001010101000000000000000100000000000000100000000000000000000000001110000000000010000000010101010100000100000
155;100;E-kzt;KZT E-kzt;398;0;11000000001000111000000100010100000010000000000000000000000000000001110110000000000000000000110000000010000000000000000000000111100100010000000000000000000000000000000000000
156;19;PM e-Voucher USD;USD PMV;840;0;11000000111010111110000111111111111111111110111010111111111111100001110111000000011000000011000000001011001011111111101110110111110101110001101111010000000000000000000100100
157;115;Райффайзен;RUB РФБ;643;1;00000000001010111110000111111111101111110110111010111100111011100001110111000000011000000011000000001000000000000000000000000000000000000000000000000000000000000000000000000
158;120;Райффайзен UAH;UAH РФБ;980;1;10000000001010011010000110111110101110010100111010101000111101000001110111000000000000000000110000000000000000000000000000000111110000010000000000010000000000000000000000000
159;155;Счет ИП или ООО;RUB РасчСчет;643;1;11000000001010000001000100000001000000000000000000000010000000000000010000000000000000000011000000000000000000000000000000000000000100000000001010000000000000000000000000000
160;29;Ether Classic (ETC);ETC;990;0;11000000001010011011000111110111111111111110111010111111111111100101110111000000010000000111001000001011111011111011101111110111111111110001101111010010010101010101000111100
161;31;Ripple (XRP);XRP;989;0;11000000001010111111000111111101101111110110111010111111111111100111110111000000011000000111001000001011111011111011101111110111111111110001101111010010000101011111100111100
162;36;Zcash (ZEC);ZEC;988;0;11000000001010111111110111111111111011111110111010111110111111100111110111110001011001000111000000001011111011111111101110110111111111111001101111010000010101011111100111100
163;37;Tether (USDT);USDT;840;0;11000000001010111111111111111111101101110110111010111111111111101101111111100001011000000111111010001011111011111011101111110111111111111001101111010000000101011111000111100
164;23;PayPal GBP;GBP PayPal;826;0;10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
165;97;Alipay;CNY Alipay;156;0;00000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
166;150;Любой банк CNY;CNY Банк;156;1;10000000001010011001000000000000000000000000000000000000100000000001110111000000000000010100000000000000000000000000000000000000000100000000000000000000010000000000000000000
167;151;Любой банк THB;THB Банк;764;1;11000000001000010000000111011111001100010101001000000000000000000001010000000000000000000000000000000011000010000000001000000000000101000000000000000000000000000000000000000
168;53;0x (ZRX);ZRX;108;0;00000000001010111110000111010111101111100110011010100100111001000101110111000000011000000011000000001011001011111011101000010000000101000001000101000000000000000000000000000
169;60;Exmo UAH;UAH Exmo;980;0;11000000001000011000000100011111001110000000000000000011111000000001110111000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100100
170;79;W1 RUB;RUB W1;643;0;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
171;154;Sepa EUR;EUR SEPA;978;1;11100000001010011001000110011111001100000000011000000000111000000001110111010000000001110100000000000000000000000000000000000000000100000000000110000000000000000000000001000
172;25;Bitcoin Cash (BCH);BCHABC;987;0;11000000001010111111111101111111111111111110111010111111111011111111111111000001011001100111001000001011111011111111101111110011011111111001101111000010010101010101000111000
173;40;NEM (XEM);XEM;986;0;10000000001010111110000111111111101111100110111010101110111111100111110111000000011000000011000000001011111011111011101110110111110101110001001111010010000101010101000000000
174;41;Augur (REP);REP;985;0;10000000000000010010000110011100111000000000100000000000000000000101000100000000000000000000000000000000100000000000001000110000001000000000001000000000000101010101000100000
175;91;ePayments USD;USD EPM;840;0;00000000000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000010000000000000001000000000000000000000000000000000000000000000000100000
176;117;Бинбанк;RUB Бинбанк;643;1;00000000001010111110000111011111101111110110111010111100111001000001110111000000011000000011000000001000000000000000000000000000000000000000000000000000000000000000000000000
177;42;NEO (NEO);NEO;984;0;10000000001010111110000111111111101111110010111010101100111011100101110111000000011000000011000000001011111011111011101100110111111101110001001101000010000101010101000111000
178;43;EOS (EOS);EOS;983;0;10000000001010111110000111011111101111110100011010101100111011100111110111000000011000000011000000001011111011111010101100110011011101110001101100000000000101011111000111000
179;44;IOTA (MIOTA);MIOTA;982;0;10000000000010010000000000000000000000000000000000000000000000000101010101000000000000000000000000000010100010000000001000110000001001000000001000000010000101010101000110000
180;45;Lisk (LSK);Lisk;981;0;00000000001010011010000110111111111111011100000000000000111001000101110111000000010000000011000000000011111011111011101000010000000101000001000101000000000101010101000000000
181;46;Cardano (ADA);ADA;100;0;10000000001010111011000111011111101111110110001010101100111011100101110111000000011000000111000000001011001011111011101110110011010101110001000101000000000000000000000100000
182;47;Stellar (XLM);XLM;101;0;10000000001010111111000111011111101111110110010010101110111011100111110111000000011001100111100000001011111011111011101100110011011111110001101101000000010101011111100111000
183;48;Bytecoin (BCN);BCN;102;0;00000000000010010000000000000000000000000000000000000000010000000100100100000000000000000000000000000011111000000000000000000000000100000000000000000000000101010101000000000
184;27;Bitcoin Gold (BTG);BTG;103;0;10000000001010011011000110011110101111110100111010101000111111100111110111000000010000000110000000000011111011111011101110110111110101010001001111010000000101010101000000000
185;49;TRON (TRX);TRX;104;0;10000000001010111110000111111111101111110110011000101100111011100101110111000000011000000011000000001011111011111011101100010011011101110001001101000000000101010101000110000
186;61;Exmo BTC;BTC Exmo;967;0;00000000001010011010000110111111101111110110011010000100111001100001110111000000011000000011100000001011001011111010001100000011010100110001000100000000000000000000000000000
187;147;Любой банк BYN;BYN Банк;974;1;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5;137;Visa/MasterCard AMD;AMD Карта;51;1;11000000110000011000000100010000000000000000000000000000100000000001111111000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000
8;63;LiveCoin RUB;RUB LiveCoin;643;0;00000000001010011010000110111111101111110110011000000100111011000001110111000000010000000010000000000011001011010010001100000011010100110000000100000000000000000000000000000
9;142;Карта UZCARD;UZS Карта;860;1;11000000001010010001000000000000000000000000000000000000010000000001100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10;92;ePayments EUR;EUR EPM;978;0;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000
12;102;Счет телефона UAH;UAH Баланс;980;0;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13;172;Наличные BYN;BYN Наличными;974;3;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
188;153;Любой банк NGN;NGN Банк;566;1;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14;165;Юнистрим RUB;RUB Юнистрим;643;2;00000000000000010000000111111111111110111111110011110100110000000001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16;77;Skrill GBP;GBP Skrill;826;0;00000000000000000000000100010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
17;140;Карта Мир;RUB Мир;643;1;00000000001010011010000110011111101111010110111000111100111001000001110111000000010000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000
